L1,L2,m1,m2,dd1,st,pr
1.620000e+00,8.100000e-01,5,330,1.031109e-01,2.210000e+00,4.665650e-02
1.620000e+00,8.100000e-01,5,335,1.030210e-01,2.330000e+00,4.421503e-02
1.620000e+00,8.100000e-01,5,340,1.021659e-01,2.320000e+00,4.403704e-02
1.620000e+00,8.100000e-01,5,345,1.029235e-01,2.310000e+00,4.455564e-02
1.620000e+00,8.100000e-01,5,350,1.040635e-01,2.300000e+00,4.524500e-02
1.620000e+00,8.100000e-01,5,355,1.032660e-01,2.290000e+00,4.509432e-02
1.620000e+00,8.100000e-01,5,360,1.006532e-01,2.410000e+00,4.176480e-02
1.620000e+00,8.100000e-01,5,365,1.002924e-01,2.250000e+00,4.457438e-02
1.620000e+00,8.100000e-01,5,370,1.032630e-01,2.250000e+00,4.589468e-02
1.620000e+00,8.100000e-01,5,375,1.018304e-01,2.360000e+00,4.314846e-02
1.620000e+00,8.100000e-01,5,380,1.042886e-01,2.360000e+00,4.419009e-02
1.620000e+00,8.100000e-01,5,385,1.048474e-01,2.340000e+00,4.480660e-02
1.620000e+00,8.100000e-01,5,390,1.064515e-01,2.340000e+00,4.549207e-02
1.620000e+00,8.100000e-01,5,395,1.058772e-01,2.340000e+00,4.524665e-02
1.620000e+00,8.100000e-01,5,400,1.030133e-01,2.450000e+00,4.204623e-02
1.620000e+00,8.100000e-01,5,405,1.015604e-01,2.430000e+00,4.179439e-02
1.620000e+00,8.100000e-01,5,410,1.017774e-01,2.420000e+00,4.205679e-02
1.620000e+00,8.100000e-01,5,415,1.024904e-01,2.270000e+00,4.514994e-02
1.620000e+00,8.100000e-01,5,420,1.026288e-01,2.260000e+00,4.541096e-02
1.620000e+00,8.100000e-01,5,425,1.036130e-01,2.250000e+00,4.605021e-02
1.620000e+00,8.100000e-01,5,430,1.052757e-01,2.240000e+00,4.699809e-02
1.620000e+00,8.100000e-01,5,435,1.044312e-01,2.370000e+00,4.406380e-02
1.620000e+00,8.100000e-01,5,440,1.028634e-01,2.350000e+00,4.377167e-02
1.620000e+00,8.100000e-01,5,445,1.043701e-01,2.340000e+00,4.460261e-02
1.620000e+00,8.100000e-01,5,450,1.045048e-01,2.350000e+00,4.447013e-02
1.620000e+00,8.100000e-01,5,455,1.046798e-01,2.330000e+00,4.492696e-02
1.620000e+00,8.100000e-01,5,460,1.046779e-01,2.190000e+00,4.779812e-02
1.620000e+00,8.100000e-01,5,465,1.025651e-01,2.290000e+00,4.478824e-02
1.620000e+00,8.100000e-01,5,470,1.042202e-01,2.290000e+00,4.551100e-02
1.620000e+00,8.100000e-01,5,475,1.039151e-01,2.280000e+00,4.557680e-02
1.620000e+00,8.100000e-01,5,480,1.046116e-01,2.270000e+00,4.608442e-02
1.620000e+00,8.100000e-01,5,485,1.011244e-01,2.380000e+00,4.248926e-02
1.620000e+00,8.100000e-01,5,490,1.014791e-01,2.370000e+00,4.281818e-02
1.620000e+00,8.100000e-01,5,495,1.017000e-01,2.360000e+00,4.309323e-02
1.620000e+00,8.100000e-01,5,500,1.032544e-01,2.350000e+00,4.393806e-02
2.430000e+00,8.100000e-01,5,5,1.241767e-01,2.710000e+00,4.582166e-02
2.430000e+00,8.100000e-01,5,10,1.362499e-01,2.240000e+00,6.082585e-02
2.430000e+00,8.100000e-01,5,15,1.495972e-01,2.480000e+00,6.032144e-02
2.430000e+00,8.100000e-01,5,20,1.480125e-01,2.720000e+00,5.441638e-02
2.430000e+00,8.100000e-01,5,25,1.469402e-01,2.890000e+00,5.084437e-02
2.430000e+00,8.100000e-01,5,30,1.370412e-01,2.550000e+00,5.374166e-02
2.430000e+00,8.100000e-01,5,35,1.421280e-01,2.790000e+00,5.094194e-02
2.430000e+00,8.100000e-01,5,40,1.342271e-01,2.400000e+00,5.592794e-02
2.430000e+00,8.100000e-01,5,45,1.478920e-01,2.600000e+00,5.688153e-02
2.430000e+00,8.100000e-01,5,50,1.478809e-01,2.770000e+00,5.338659e-02
2.430000e+00,8.100000e-01,5,55,1.409101e-01,2.730000e+00,5.161543e-02
2.430000e+00,8.100000e-01,5,60,1.390126e-01,2.350000e+00,5.915429e-02
2.430000e+00,8.100000e-01,5,65,1.450492e-01,2.560000e+00,5.665984e-02
