L1,L2,m1,m2,dd1,st,pr,rms
2.430000e+00,8.100000e-01,5,190,3.328388e-01,3.249000e+00,3.328388e-01,6.763663e-02
2.430000e+00,8.100000e-01,5,195,3.287387e-01,3.217000e+00,3.287387e-01,6.678737e-02
2.430000e+00,8.100000e-01,5,200,3.197022e-01,3.185000e+00,3.197022e-01,6.724434e-02
2.430000e+00,8.100000e-01,5,205,3.192896e-01,3.155000e+00,3.192896e-01,6.713827e-02
2.430000e+00,8.100000e-01,5,210,3.288824e-01,3.128000e+00,3.288824e-01,6.620879e-02
2.430000e+00,8.100000e-01,5,215,3.328352e-01,3.093000e+00,3.328352e-01,6.652128e-02
2.430000e+00,8.100000e-01,5,220,3.249848e-01,3.263000e+00,3.249848e-01,6.681760e-02
2.430000e+00,8.100000e-01,5,225,3.225068e-01,3.227000e+00,3.225068e-01,6.694168e-02
2.430000e+00,8.100000e-01,5,230,3.211254e-01,3.190000e+00,3.211254e-01,6.714297e-02
2.430000e+00,8.100000e-01,5,235,3.257087e-01,3.177000e+00,3.257087e-01,6.687793e-02
2.430000e+00,8.100000e-01,5,240,3.203356e-01,3.148000e+00,3.203356e-01,6.662905e-02
2.430000e+00,8.100000e-01,5,245,3.219215e-01,3.125000e+00,3.219215e-01,6.644076e-02
2.430000e+00,8.100000e-01,5,250,3.261904e-01,3.288000e+00,3.261904e-01,6.607336e-02
2.430000e+00,8.100000e-01,5,255,3.208570e-01,3.253000e+00,3.208570e-01,6.607202e-02
2.430000e+00,8.100000e-01,5,260,3.068081e-01,3.228000e+00,3.068081e-01,6.675103e-02
2.430000e+00,8.100000e-01,5,265,3.111979e-01,3.202000e+00,3.111979e-01,6.626191e-02
2.430000e+00,8.100000e-01,5,270,3.220999e-01,3.184000e+00,3.220999e-01,6.617588e-02
2.430000e+00,8.100000e-01,5,275,3.306155e-01,3.153000e+00,3.306155e-01,6.685753e-02
2.430000e+00,8.100000e-01,5,280,3.293992e-01,3.124000e+00,3.293992e-01,6.785826e-02
2.430000e+00,8.100000e-01,5,285,3.284640e-01,3.098000e+00,3.284640e-01,6.794967e-02
2.430000e+00,8.100000e-01,5,290,3.346803e-01,3.251000e+00,3.346803e-01,6.761633e-02
2.430000e+00,8.100000e-01,5,295,3.386697e-01,3.229000e+00,3.386697e-01,6.747310e-02
2.430000e+00,8.100000e-01,5,300,3.283330e-01,3.212000e+00,3.283330e-01,6.762982e-02
2.430000e+00,8.100000e-01,5,305,3.212060e-01,3.184000e+00,3.212060e-01,6.798537e-02
2.430000e+00,8.100000e-01,5,310,3.211097e-01,3.158000e+00,3.211097e-01,6.851795e-02
2.430000e+00,8.100000e-01,5,315,3.356791e-01,3.140000e+00,3.356791e-01,6.807299e-02
2.430000e+00,8.100000e-01,5,320,3.408592e-01,3.114000e+00,3.408592e-01,6.805343e-02
2.430000e+00,8.100000e-01,5,325,3.371186e-01,3.099000e+00,3.371186e-01,6.812336e-02
2.430000e+00,8.100000e-01,5,330,3.327272e-01,3.238000e+00,3.327272e-01,6.867585e-02
