t1sc,d1sc
2.584000e+01,-1.159923e-01
2.585000e+01,-1.204249e-01
2.586000e+01,-1.248376e-01
2.587000e+01,-1.292293e-01
2.588000e+01,-1.335993e-01
2.589000e+01,-1.379467e-01
2.590000e+01,-1.422708e-01
2.591000e+01,-1.465705e-01
2.592000e+01,-1.508453e-01
2.593000e+01,-1.550942e-01
2.594000e+01,-1.593165e-01
2.595000e+01,-1.635114e-01
2.596000e+01,-1.676782e-01
2.597000e+01,-1.718163e-01
2.598000e+01,-1.759249e-01
2.599000e+01,-1.800034e-01
26,-1.840512e-01
2.601000e+01,-1.880678e-01
2.602000e+01,-1.920524e-01
2.603000e+01,-1.960047e-01
2.604000e+01,-1.999242e-01
2.605000e+01,-2.038102e-01
2.606000e+01,-2.076623e-01
2.607000e+01,-2.114802e-01
2.608000e+01,-2.152632e-01
2.609000e+01,-2.190110e-01
2.610000e+01,-2.227232e-01
2.611000e+01,-2.263992e-01
2.612000e+01,-2.300386e-01
2.613000e+01,-2.336409e-01
2.614000e+01,-2.372057e-01
2.615000e+01,-2.407324e-01
2.616000e+01,-2.442207e-01
2.617000e+01,-2.476698e-01
2.618000e+01,-2.510794e-01
2.619000e+01,-2.544488e-01
2.620000e+01,-2.577775e-01
2.621000e+01,-2.610648e-01
2.622000e+01,-2.643103e-01
2.623000e+01,-2.675133e-01
2.624000e+01,-2.706731e-01
2.625000e+01,-2.737892e-01
2.626000e+01,-2.768609e-01
2.627000e+01,-2.798876e-01
2.628000e+01,-2.828687e-01
2.629000e+01,-2.858036e-01
2.630000e+01,-2.886916e-01
2.631000e+01,-2.915324e-01
2.632000e+01,-2.943251e-01
2.633000e+01,-2.970695e-01
2.634000e+01,-2.997648e-01
2.635000e+01,-3.024108e-01
2.636000e+01,-3.050068e-01
2.637000e+01,-3.075525e-01
2.638000e+01,-3.100475e-01
2.639000e+01,-3.124915e-01
2.640000e+01,-3.148841e-01
2.641000e+01,-3.172250e-01
2.642000e+01,-3.195139e-01
2.643000e+01,-3.217506e-01
2.644000e+01,-3.239349e-01
2.645000e+01,-3.260665e-01
2.646000e+01,-3.281453e-01
2.647000e+01,-3.301711e-01
2.648000e+01,-3.321437e-01
2.649000e+01,-3.340629e-01
2.650000e+01,-3.359285e-01
2.651000e+01,-3.377405e-01
2.652000e+01,-3.394985e-01
2.653000e+01,-3.412025e-01
2.654000e+01,-3.428523e-01
2.655000e+01,-3.444476e-01
2.656000e+01,-3.459882e-01
2.657000e+01,-3.474739e-01
2.658000e+01,-3.489045e-01
2.659000e+01,-3.502797e-01
2.660000e+01,-3.515993e-01
2.661000e+01,-3.528629e-01
2.662000e+01,-3.540704e-01
2.663000e+01,-3.552213e-01
2.664000e+01,-3.563155e-01
2.665000e+01,-3.573526e-01
2.666000e+01,-3.583324e-01
2.667000e+01,-3.592546e-01
2.668000e+01,-3.601189e-01
2.669000e+01,-3.609251e-01
2.670000e+01,-3.616729e-01
2.671000e+01,-3.623621e-01
2.672000e+01,-3.629926e-01
2.673000e+01,-3.635642e-01
2.674000e+01,-3.640767e-01
2.675000e+01,-3.645300e-01
2.676000e+01,-3.649242e-01
2.677000e+01,-3.652590e-01
2.678000e+01,-3.655345e-01
