t1,d1,v1,u,u_max
3.03E+00,-3.873923E-01,7.160684E-01,0,-1.41016E+00
3.04E+00,-3.802067E-01,7.2099E-01,0,-1.358646E+00
3.05E+00,-3.729735E-01,7.256056E-01,0,-1.307262E+00
3.06E+00,-3.656955E-01,7.299466E-01,0,-1.255982E+00
3.07E+00,-3.583754E-01,7.340483E-01,0,-1.204774E+00
3.08E+00,-3.510152E-01,7.379493E-01,0,-1.153596E+00
3.09E+00,-3.436169E-01,7.4169E-01,0,-1.102405E+00
3.1E+00,-3.361818E-01,7.453118E-01,0,-1.051151E+00
3.11E+00,-3.287109E-01,7.488559E-01,0,-9.997823E-01
3.12E+00,-3.212048E-01,7.523622E-01,0,-9.482475E-01
3.13E+00,-3.136637E-01,7.558687E-01,0,-8.964949E-01
3.14E+00,-3.060874E-01,7.594097E-01,0,-8.444752E-01
3.15E+00,-2.984753E-01,7.630157E-01,0,-7.921431E-01
3.16E+00,-2.908267E-01,7.66712E-01,0,-7.394583E-01
3.17E+00,-2.831407E-01,7.705186E-01,0,-6.863869E-01
3.18E+00,-2.75416E-01,7.744492E-01,0,-6.329024E-01
3.19E+00,-2.676513E-01,7.785112E-01,0,-5.789865E-01
3.2E+00,-2.598453E-01,7.827051E-01,0,-5.246302E-01
3.21E+00,-2.519967E-01,7.870252E-01,0,-4.698336E-01
3.22E+00,-2.441044E-01,7.914589E-01,0,-4.146066E-01
3.23E+00,-2.361672E-01,7.959877E-01,0,-3.589686E-01
3.24E+00,-2.281844E-01,8.005873E-01,0,-3.02948E-01
3.25E+00,-2.201554E-01,8.052285E-01,0,-2.465823E-01
3.26E+00,-2.120798E-01,8.098776E-01,0,-1.899166E-01
3.27E+00,-2.039579E-01,8.144976E-01,0,-1.330032E-01
3.28E+00,-1.957901E-01,8.19049E-01,0,-7.590013E-02
3.29E+00,-1.875773E-01,8.234909E-01,0,-1.866998E-02
3.3E+00,-1.793208E-01,8.277819E-01,0,3.862151E-02
3.31E+00,-1.710223E-01,8.318811E-01,0,9.590689E-02
3.32E+00,-1.626839E-01,8.357496E-01,0,1.531186E-01
3.33E+00,-1.543082E-01,8.393508E-01,0,2.101903E-01
3.34E+00,-1.458979E-01,8.426519E-01,0,2.670585E-01
3.35E+00,-1.374562E-01,8.456244E-01,0,3.236642E-01
3.36E+00,-1.289866E-01,8.482449E-01,0,3.799534E-01
3.37E+00,-1.204926E-01,8.504957E-01,0,4.358791E-01
3.38E+00,-1.11978E-01,8.523653E-01,0,4.914018E-01
3.39E+00,-1.034466E-01,8.538484E-01,0,5.464904E-01
3.4E+00,-9.490227E-02,8.549463E-01,0,6.011226E-01
3.41E+00,-8.63489E-02,8.556668E-01,0,6.552855E-01
